2026-07-09 20:58:31.149584: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:00.636026: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:01.070516: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:01.567984: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:30.842766: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:43.057305: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 18 (Decidir Avance)
2026-07-09 20:59:54.333480: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 21:04:01.805927: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 22 (Fin)
2026-07-09 21:04:49.244887: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 22 (Fin)
2026-07-09 21:05:10.447374: [DETAIL VIEW] Selected Instance ID: 30, Title: MBL 105, Current Node ID: 22 (Fin)
2026-07-09 21:05:33.579164: [DETAIL VIEW] Selected Instance ID: 29, Title: MBL 104, Current Node ID: 18 (Decidir Avance)
2026-07-09 21:05:52.379348: [DETAIL VIEW] Selected Instance ID: 29, Title: MBL 104, Current Node ID: 18 (Decidir Avance)
2026-07-09 21:09:15.867534: [DETAIL VIEW] Selected Instance ID: 29, Title: MBL 104, Current Node ID: 18 (Decidir Avance)
2026-07-09 21:10:14.355464: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 21:13:01.727378: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 21:26:22.605356: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 21:28:05.243032: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 21:28:18.697561: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 21:34:17.920289: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 22 (Fin)
2026-07-09 21:34:23.680757: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 22 (Fin)
2026-07-09 21:37:17.359966: [DETAIL VIEW] Selected Instance ID: 29, Title: MBL 104, Current Node ID: 18 (Decidir Avance)
2026-07-09 21:37:24.276169: [DETAIL VIEW] Selected Instance ID: 29, Title: MBL 104, Current Node ID: 18 (Decidir Avance)
2026-07-09 21:37:27.699893: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 22 (Fin)
2026-07-09 21:40:43.474510: [DETAIL VIEW] Selected Instance ID: 31, Title: MBL 106, Current Node ID: 22 (Fin)
